,length,highway,shadow,thermal comfort area/buffer,green_500,uv_cost,traffic_delay,traffic,green,pollution_meter,gradient,elevation_cost,poll_cost,# of intersections /node,intersection,intersection_cost,ux,uy,vx,vy
42,6.676,tertiary,1.0,0.0,0.004021974067060691,6.676,0,0.0,0.0,6.676,-0.014335399191132414,0.0,2.6704000000000003,3,0,0.0,31.3487719,30.0688298,31.3487657,30.0688896
43,20.289,tertiary,1.0,0.0,0.0037785836121899934,20.289,0,0.0,0.0,20.289,-0.008727795705570135,0.0,8.1156,3,0,0.0,31.3487657,30.0688896,31.3487382,30.0690705
44,22.094,tertiary,1.0,0.0,0.0035783377605667116,22.094,0,0.0,0.0,22.094,-0.006506429426894745,0.0,8.8376,3,0,0.0,31.3487382,30.0690705,31.3487083,30.0692675
45,39.393,tertiary,1.0,0.0,0.00350339081073359,39.393,0,0.0,0.0,39.393,-0.002405429392991775,0.0,15.757200000000001,3,0,0.0,31.3487083,30.0692675,31.3486537,30.0696186
46,54.442,tertiary,1.0,0.0,0.0034407068775141095,54.442,0,0.0,0.0,54.442,0.002006356149735613,0.0,27.221,3,0,0.0,31.3486537,30.0696186,31.3485954,30.0701056
47,154.198,tertiary,1.0,0.0,0.002562215650042451,154.198,0,0.0,0.0,154.198,0.015399454756298517,30.839600000000004,92.5188,3,0,0.0,31.3485954,30.0701056,31.3484286,30.0714848
48,65.57,tertiary,1.0,0.0,0.0,65.57,0,0.0,0.0,65.57,-0.013507297894604527,0.0,26.227999999999998,3,0,0.0,31.3484286,30.0714848,31.3483819,30.0720731
49,133.537,tertiary,1.0,0.0,0.0,133.537,0,0.0,0.0,133.537,-0.010234953571797984,0.0,53.41480000000001,3,0,0.0,31.3483819,30.0720731,31.3482727,30.0732703
50,22.565000000000005,tertiary_link,1.0,0.0,0.0,22.565000000000005,0,0.0,0.0,22.565000000000005,-0.024308572976678478,0.0,9.026000000000002,3,0,0.0,31.3482727,30.0732703,31.3480704,30.0732469
51,15.947,tertiary,1.0,0.0,0.0,15.947,0,0.0,0.0,15.947,0.0147234349218799,3.1894,9.5682,3,0,0.0,31.3480704,30.0732469,31.348083,30.0731039
52,28.109,tertiary,1.0,0.0,0.0,28.109,0,0.0,0.0,28.109,0.020771908053526005,5.6218,16.8654,3,0,0.0,31.348083,30.0731039,31.3481046,30.0728518
53,27.73,service,1.0,0.0,0.0,27.73,0,0.0,0.0,27.73,0.02873445133246371,5.546,16.637999999999998,3,0,0.0,31.348083,30.0731039,31.3478923,30.0729189
54,90.398,tertiary,1.0,0.0,0.0,90.398,0,0.0,0.0,90.398,0.007796839814884594,0.0,45.199,3,0,0.0,31.3481046,30.0728518,31.3481777,30.0720413
55,28.808,tertiary,1.0,0.0,0.0,28.808,0,0.0,0.0,28.808,0.0012344004412023137,0.0,14.404,3,0,0.0,31.3481777,30.0720413,31.3478796,30.0720174
56,8.47,tertiary,1.0,0.0,0.0,8.47,0,0.0,0.0,8.47,0.0582193962376402,5.082,6.776000000000001,3,0,0.0,31.3478796,30.0720174,31.3477923,30.0720077
57,36.004,tertiary,1.0,0.0,0.0,36.004,0,0.0,0.0,36.004,-0.0434477532417188,0.0,7.2008,3,0,0.0,31.3477923,30.0720077,31.3474196,30.0719792
58,16.403,service,1.0,0.0,0.0,16.403,0,0.0,0.0,16.403,-0.01601600751625084,0.0,6.5611999999999995,3,0,0.0,31.3477923,30.0720077,31.3476302,30.0720321
59,22.964,tertiary,1.0,0.0,0.0,22.964,0,0.0,0.0,22.964,-0.040665297449268424,0.0,4.5927999999999995,3,0,0.0,31.3474196,30.0719792,31.3471819,30.0719609
60,109.899,tertiary,1.0,0.0,0.0,109.899,0,0.0,0.0,109.899,-0.02641502305881423,0.0,43.9596,3,0,0.0,31.3471819,30.0719609,31.3460443,30.0718735
61,61.044,path,1.0,0.0,0.0,61.044,0,0.0,0.0,61.044,-0.028505619649735234,0.0,24.4176,3,0,0.0,31.3460443,30.0718735,31.345456,30.0719711
62,69.412,tertiary,1.0,0.0,0.0,69.412,0,0.0,0.0,69.412,-0.031827430810831066,0.0,13.882400000000002,3,0,0.0,31.3460443,30.0718735,31.3453258,30.0718183
63,63.588,footway,1.0,0.0,0.0,63.588,0,0.0,0.0,63.588,0.001172220931155446,0.0,31.794,3,0,0.0,31.345456,30.0719711,31.3453244,30.0725308
64,4.005,footway,1.0,0.0,0.0,4.005,0,0.0,0.0,4.005,0.0460125831480181,2.403,3.204,3,0,0.0,31.3453244,30.0725308,31.3453256,30.0725668
65,9.747,footway,1.0,0.0,0.0,9.747,0,0.0,0.0,9.747,-0.006737850428336924,0.0,3.8988,3,0,0.0,31.3453256,30.0725668,31.3453916,30.0726333
66,13.488000000000001,footway,1.0,0.0,0.0,13.488000000000001,0,0.0,0.0,13.488000000000001,0.028530473810922205,2.6976000000000004,8.0928,3,0,0.0,31.3453256,30.0725668,31.3453348,30.072654
67,2.855,footway,1.0,0.0,0.0,2.855,0,0.0,0.0,2.855,0.0005531645071694396,0.0,1.4275,3,0,0.0,31.3453916,30.0726333,31.3454109,30.0726528
68,7.545,service,1.0,0.0,0.0,7.545,0,0.0,0.0,7.545,-0.13099200208902834,0.0,0.0,3,0,0.0,31.3476302,30.0720321,31.3475521,30.0720261
69,11.669,service,1.0,0.0,0.0,11.669,0,0.0,0.0,11.669,-0.01976097526030508,0.0,4.6676,3,0,0.0,31.3475521,30.0720261,31.3474378,30.0719989
70,2.805,service,1.0,0.0,0.0,2.805,0,0.0,0.0,2.805,-0.029467686399844026,0.0,1.122,3,0,0.0,31.3474378,30.0719989,31.3474196,30.0719792
71,71.279,footway,0.0,0.8654357931166434,0.11228705209730115,0.0,0,0.0,0.15,60.587149999999994,0.004259269863241468,0.0,30.293574999999997,4,1,32.09855172413792,31.3474455,30.0621312,31.3479381,30.0626099
72,44.076,footway,0.0,0.6908203652836372,0.1160300025478143,0.0,0,0.0,0.15,37.4646,-0.01853463740408838,0.0,14.98584,4,1,32.09855172413792,31.3479381,30.0626099,31.347586,30.0628634
73,5.987,footway,1.0,0.0,0.0,5.987,0,0.0,0.0,5.987,-0.0752451743588974,0.0,0.0,3,0,0.0,31.3453348,30.072654,31.3453916,30.0726333
74,8.12,footway,1.0,0.0,0.05632631483425508,8.12,0,0.0,0.1,7.308,0.006185259137834822,0.0,3.654,3,0,0.0,31.3490365,30.0664439,31.3491201,30.0664538
75,22.368,service,1.0,0.0,0.0,22.368,0,0.0,0.0,22.368,-0.009519347817089425,0.0,8.9472,3,0,0.0,31.3478923,30.0729189,31.3481046,30.0728518
76,6.021,service,1.0,0.0,0.0,6.021,0,0.0,0.0,6.021,0.013484805946115678,1.2042000000000002,3.6125999999999996,3,0,0.0,31.3478923,30.0729189,31.3478298,30.0729164
77,21.961,path,1.0,0.0,0.0,21.961,0,0.0,0.0,21.961,0.021360984542733427,4.3922,13.176599999999999,3,0,0.0,31.3453258,30.0718183,31.345456,30.0719711
78,20.802,footway,0.0,0.2645066048151955,0.13384223742231524,0.0,0,0.0,0.15,17.6817,0.004464233738793828,0.0,8.84085,3,0,0.0,31.3494221,30.0628924,31.3496367,30.0629148
79,21.45,tertiary,0.2,0.18820655679497306,0.13375174208669516,4.29,0,0.0,0.15,18.232499999999998,-0.03312437684385993,0.0,3.6464999999999996,3,0,0.0,31.3496367,30.0629148,31.3496089,30.0631062
80,18.098,service,1.0,0.0,0.0,18.098,0,0.0,0.0,18.098,-0.009178206306463422,0.0,7.2392,3,0,0.0,31.3478298,30.0729164,31.3476419,30.0729094
81,24.028,service,1.0,0.0,0.0,24.028,0,0.0,0.0,24.028,0.027593527257750074,4.8056,14.416799999999999,3,0,0.0,31.3476419,30.0729094,31.347507,30.0727904
82,42.743,service,1.0,0.0,0.0,42.743,0,0.0,0.0,42.743,-0.0019868233518317326,0.0,17.0972,3,0,0.0,31.347507,30.0727904,31.3478979,30.0727068
83,64.053,service,1.0,0.0,0.0,64.053,0,0.0,0.0,64.053,-0.004530373612416183,0.0,25.6212,3,0,0.0,31.3478979,30.0727068,31.347525,30.0724236
84,104.06299999999997,service,1.0,0.0,0.0,104.06299999999997,0,0.0,0.0,104.06299999999997,0.0025434492094031985,0.0,52.03149999999999,3,0,0.0,31.3478979,30.0727068,31.3476302,30.0720321
85,44.277,service,1.0,0.0,0.0,44.277,0,0.0,0.0,44.277,-0.00978999660517876,0.0,17.710800000000003,3,0,0.0,31.347525,30.0724236,31.3475521,30.0720261
86,57.968999999999994,footway,1.0,0.0,0.0,57.968999999999994,0,0.0,0.0,57.968999999999994,-0.011455476202798048,0.0,23.1876,3,0,0.0,31.347525,30.0724236,31.3474378,30.0719989
